time	close
Jan-19	1289.851484
Feb-19	1318.508393
Mar-19	1300.572774
Apr-19	1285.466
May-19	1282.489226
Jun-19	1355.127867
Jul-19	1416.670903
Aug-19	1498.296645
Sep-19	1509.290367
Oct-19	1494.539484
Nov-19	1473.549933
Dec-19	1479.913742
Jan-20	1554.391645
Feb-20	1594.221345
Mar-20	1594.327258
Apr-20	1679.7486
May-20	1715.134194
Jun-20	1732.4875
Jul-20	1831.84129
Aug-20	1969.878581
Sep-20	1925.162367
Oct-20	1900.053161
Nov-20	1871.7779
Dec-20	1855.49629
Jan-21	1869.886871
Feb-21	1807.161071
Mar-21	1722.087935
Apr-21	1756.983267
May-21	1842.765645
Jun-21	1835.810167
Jul-21	1803.619419
Aug-21	1786.826226
Sep-21	1778.485767
Oct-21	1775.84171
Nov-21	1819.600967
Dec-21	1788.942968
Jan-22	1815.168065
Feb-22	1854.630357
Mar-22	1952.294452
Apr-22	1939.6107
May-22	1850.58529
Jun-22	1840.9703
Jul-22	1741.000032
Aug-22	1767.742903
Sep-22	1683.881133
Oct-22	1666.790839
Nov-22	1723.6913
Dec-22	1793.792903
Jan-23	1891.949355
Feb-23	1858.178929
Mar-23	1905.086
Apr-23	2001.551667
May-23	1991.769355
Jun-23	1945.555867
Jul-23	1944.233516
Aug-23	1917.610129
Sep-23	1917.1747
